Delivery Order ID,Project Name,Client,Notes,Offer Confidence,Capability Domain,Domain Specialization,Revenue Stream,Training Methodology
019c1ed2-8668-78e4-9b5b-17d639e8e171,[Anthropic] - [Anthropic - Legal Reasoning Environment],Anthropic,Legal reasoning environments with structured case materials,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",Legal & Compliance,Managed Services,"RL Gym, SFT Demonstrations"
019aaf09-bed9-7434-9de3-21b6b5ce8a91,[Amazon] - [Amazon Lab126 Wearables Data Collection Part 2 2025],Amazon,Facial video collection with expression variations,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
,[AGI (Amazon)] - [Off-the-shelf - Tau-Bench],Amazon (AGI),Benchmark for testing agent performance in domain-specific environments,Based on proposal,Agentic & Tool Use,General,Off-the-shelf,Benchmarking
,[Amazon] - [Amazon Q - CSV Q&A 2025],Amazon,Generate Q&A pairs from CSV data for Amazon Q,Based on proposal,Reasoning & Knowledge,General,Managed Services,SFT Demonstrations
019bb691-c69b-7231-b054-d80513c7fb20,Amazon Alexa - Web Query Relevance,Amazon,Web query relevance evaluation for Alexa,⚠️ No proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
019ac525-99eb-74cb-8d48-2e1a7aaf45a6,[AGI (Amazon)] - [AGI Model Eval 2 sprint],Amazon (AGI),Multi-domain prompt generation & model eval,Based on proposal,Reasoning & Knowledge,General,Managed Services,Benchmarking
,[Amazon] - [Amazon Q - PDF Q&A 2025],Amazon,Generate 350+ Q&A pairs from PDF data for Amazon Q,Based on proposal,"Multimodal, Reasoning & Knowledge",General,Managed Services,SFT Demonstrations
019c1ea6-c341-72a1-83e9-a335d8cd2da2,[Amazon] - [Amazon Prime Video - Pairwise Preferences],Amazon,Pairwise preference judgments for video search ranking (multilingual),Based on proposal,"Multimodal, Reasoning & Knowledge",General,Managed Services,Preference Data
019bb694-f1e6-7256-8602-6eb4142f3c47,Anthropic - CU Agent - Preferences,Anthropic,Computer use agent preference evaluation,⚠️ No proposal,Agentic & Tool Use,General,Managed Services,Preference Data
,[Amazon] - [Amazon Edge AI - Video Collection Long Form - Pilot],Amazon,Long-form video collection for Edge AI,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Amazon] - [Amazon Q - Salesforce Connector Reasoning Q&A],Amazon,Reasoning & answer derivations for Salesforce connector tool,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",Business & Consulting,Managed Services,SFT Demonstrations
019b0949-ce8a-77a2-ae44-ca1c79395a44,[Amazon] - [Amazon Lab126 Home Activity Data Collection],Amazon,In-home activity video collection for home robotics training,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
019a521f-62ad-79d8-8a02-cd7a40e9fe15,[Amazon] - [Amazon Lab126 Wearables Part 1 2025 - Single Frame Selection],Amazon,Frame selection & annotation from wearable device footage,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
019aaf0d-b0d8-7093-8b6a-ade042cf9449,[Amazon] - [Amazon Lab126 Wearables Part 2 2025 Frame Selection and Annotation],Amazon,Frame selection & facial expression/orientation annotation,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
,[AGI (Amazon)] - [Amazon AGI Model Evals],Amazon (AGI),Human evaluation across 7 domains (coding / math / bio / business etc.),Based on proposal,Reasoning & Knowledge,General,Managed Services,Benchmarking
019ac507-42cc-776c-b2bd-e9fc04c2c3ea,[Amazon] - [Amazon Edge AI (Medium Complexity) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - medium complexity,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Anthropic] - [Anthropic - Computationally Intensive STEM Q&As],Anthropic,Challenging STEM problems requiring scientific computation,Based on proposal,Reasoning & Knowledge,STEM & Science,Managed Services,SFT Demonstrations
019aaf0c-38b4-78c9-a361-26eb5910b36f,[Amazon] - [Amazon Lab126 Wearables Part 2 2025 Frame Extraction],Amazon,Frame extraction & facial annotation from wearables video,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
019a96d1-890d-7b70-a0fe-e3d0ab7ce13f,[Amazon] - [Pilot: Amazon Prime Video - Pairwise Preferences],Amazon,Pilot for pairwise preference video search ranking,Based on proposal,"Multimodal, Reasoning & Knowledge",General,Managed Services,Preference Data
019b0890-bb3b-7f63-93b8-5081dde6fb6f,[Amazon] - [Amazon Edge AI (Easy Complexity - New) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - easy complexity (new),Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
019bb693-9296-7422-a251-6d2e220eaf8d,P13N: Complements ASIN Level [US],Amazon,Product complementarity ASIN-level annotation,⚠️ No proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
019ac508-bbc6-78fd-b133-31a8815d8ecd,[Amazon] - [Amazon Edge AI (High Complexity) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - high complexity,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Aleph Alpha] - [Aleph Alpha - OCR Multi-Domain Dataset of Complex Documents],Aleph Alpha,OCR dataset of invoices / patents / contracts in EN & DE,Based on proposal,Multimodal,"Business & Consulting, Legal & Compliance",Off-the-shelf,SFT Demonstrations
