Project Name,Capability Domain,Client,Delivery Order ID,Domain Specialization,Notes,Offer Confidence,Revenue Stream,Training Methodology
[Anthropic] - [Anthropic - Legal Reasoning Environment],"Agentic & Tool Use, Reasoning & Knowledge",Anthropic,019c1ed2-8668-78e4-9b5b-17d639e8e171,Legal & Compliance,Legal reasoning environments with structured case materials,Based on proposal,Managed Services,"RL Gym, SFT Demonstrations"
[Amazon] - [Amazon Lab126 Wearables Data Collection Part 2 2025],Multimodal,Amazon,019aaf09-bed9-7434-9de3-21b6b5ce8a91,General,Facial video collection with expression variations,Based on proposal,Managed Services,SFT Demonstrations
[AGI (Amazon)] - [Off-the-shelf - Tau-Bench],Agentic & Tool Use,Amazon (AGI),,General,Benchmark for testing agent performance in domain-specific environments,Based on proposal,Off-the-shelf,Benchmarking
[Amazon] - [Amazon Q - CSV Q&A 2025],Reasoning & Knowledge,Amazon,,General,Generate Q&A pairs from CSV data for Amazon Q,Based on proposal,Managed Services,SFT Demonstrations
Amazon Alexa - Web Query Relevance,Reasoning & Knowledge,Amazon,019bb691-c69b-7231-b054-d80513c7fb20,General,Web query relevance evaluation for Alexa,⚠️ No proposal,Managed Services,"Benchmarking, Preference Data"
[AGI (Amazon)] - [AGI Model Eval 2 sprint],Reasoning & Knowledge,Amazon (AGI),019ac525-99eb-74cb-8d48-2e1a7aaf45a6,General,Multi-domain prompt generation & model eval,Based on proposal,Managed Services,Benchmarking
[Amazon] - [Amazon Q - PDF Q&A 2025],"Multimodal, Reasoning & Knowledge",Amazon,,General,Generate 350+ Q&A pairs from PDF data for Amazon Q,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Prime Video - Pairwise Preferences],"Multimodal, Reasoning & Knowledge",Amazon,019c1ea6-c341-72a1-83e9-a335d8cd2da2,General,Pairwise preference judgments for video search ranking (multilingual),Based on proposal,Managed Services,Preference Data
Anthropic - CU Agent - Preferences,Agentic & Tool Use,Anthropic,019bb694-f1e6-7256-8602-6eb4142f3c47,General,Computer use agent preference evaluation,⚠️ No proposal,Managed Services,Preference Data
[Amazon] - [Amazon Edge AI - Video Collection Long Form - Pilot],"Multimodal, Robotics & Embodied AI",Amazon,,General,Long-form video collection for Edge AI,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Q - Salesforce Connector Reasoning Q&A],"Agentic & Tool Use, Reasoning & Knowledge",Amazon,,Business & Consulting,Reasoning & answer derivations for Salesforce connector tool,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Lab126 Home Activity Data Collection],"Multimodal, Robotics & Embodied AI",Amazon,019b0949-ce8a-77a2-ae44-ca1c79395a44,General,In-home activity video collection for home robotics training,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Lab126 Wearables Part 1 2025 - Single Frame Selection],Multimodal,Amazon,019a521f-62ad-79d8-8a02-cd7a40e9fe15,General,Frame selection & annotation from wearable device footage,Based on proposal,Managed Services,SFT Demonstrations
[Amazon] - [Amazon Lab126 Wearables Part 2 2025 Frame Selection and Annotation],Multimodal,Amazon,019aaf0d-b0d8-7093-8b6a-ade042cf9449,General,Frame selection & facial expression/orientation annotation,Based on proposal,Managed Services,SFT Demonstrations
